Level,No,English,Korean
Beginner,129,I need the hotel.,호텔이/가 필요해요.
Beginner,130,I need the restaurant.,식당이/가 필요해요.
Beginner,131,I need the pharmacy.,약국이/가 필요해요.
Beginner,132,I need the hospital.,병원이/가 필요해요.
Beginner,133,I need the bank.,은행이/가 필요해요.
Beginner,134,I need the convenience store.,편의점이/가 필요해요.
Beginner,135,I need the supermarket.,슈퍼마켓이/가 필요해요.
Beginner,136,I need the coffee shop.,카페이/가 필요해요.
Beginner,137,I need the police station.,경찰서이/가 필요해요.
Beginner,138,I need the information desk.,안내 데스크이/가 필요해요.
Beginner,139,I need the ticket office.,매표소이/가 필요해요.
Beginner,140,I need the platform.,승강장이/가 필요해요.
Beginner,141,I need the elevator.,엘리베이터이/가 필요해요.
Beginner,142,I need the stairs.,계단이/가 필요해요.
Beginner,143,I need the parking lot.,주차장이/가 필요해요.
Beginner,144,Can I get 1 bottles of water?,생수 1개 주세요.
Beginner,145,Can I get 1 cups of coffee?,커피 1개 주세요.
Beginner,146,Can I get 1 cups of tea?,차 1개 주세요.
Beginner,147,Can I get 2 bottles of water?,생수 2개 주세요.
Beginner,148,Can I get 2 cups of coffee?,커피 2개 주세요.
Beginner,149,Can I get 2 cups of tea?,차 2개 주세요.
Beginner,150,Can I get 3 bottles of water?,생수 3개 주세요.
Beginner,151,Can I get 3 cups of coffee?,커피 3개 주세요.
Beginner,152,Can I get 3 cups of tea?,차 3개 주세요.
Beginner,153,Can I get 4 bottles of water?,생수 4개 주세요.
Beginner,154,Can I get 4 cups of coffee?,커피 4개 주세요.
Beginner,155,Can I get 4 cups of tea?,차 4개 주세요.
Beginner,156,Can I get 5 bottles of water?,생수 5개 주세요.
Beginner,157,Can I get 5 cups of coffee?,커피 5개 주세요.
Beginner,158,Can I get 5 cups of tea?,차 5개 주세요.
Beginner,159,Can I get 6 bottles of water?,생수 6개 주세요.
Beginner,160,Can I get 6 cups of coffee?,커피 6개 주세요.
Beginner,161,Can I get 6 cups of tea?,차 6개 주세요.
Beginner,162,Can I get 7 bottles of water?,생수 7개 주세요.
Beginner,163,Can I get 7 cups of coffee?,커피 7개 주세요.
Beginner,164,Can I get 7 cups of tea?,차 7개 주세요.
Beginner,165,Can I get 8 bottles of water?,생수 8개 주세요.
Beginner,166,Can I get 8 cups of coffee?,커피 8개 주세요.
Beginner,167,Can I get 8 cups of tea?,차 8개 주세요.
Beginner,168,Can I get 9 bottles of water?,생수 9개 주세요.
Beginner,169,Can I get 9 cups of coffee?,커피 9개 주세요.
Beginner,170,Can I get 9 cups of tea?,차 9개 주세요.
Beginner,171,Can I get 10 bottles of water?,생수 10개 주세요.
Beginner,172,Can I get 10 cups of coffee?,커피 10개 주세요.
Beginner,173,Can I get 10 cups of tea?,차 10개 주세요.
Beginner,174,Do you have Wi‑Fi?,와이파이 있나요?
Beginner,175,Do you have a charger?,충전기 있나요?
Beginner,176,Do you have a menu in English?,영문 메뉴 있나요?
Beginner,177,Do you have an extra towel?,추가 수건 있나요?
Beginner,178,Do you have a taxi stand?,택시 승강장 있나요?
Beginner,179,I feel happy.,저는 행복해요.
Beginner,180,I feel tired.,저는 피곤해요.
Beginner,181,I feel hungry.,저는 배고파요.
Beginner,182,I feel thirsty.,저는 목말라요.
Beginner,183,I feel nervous.,저는 긴장돼요.
Beginner,184,Can you help me with my phone battery is low?,휴대폰 배터리가 부족해요 도와주실 수 있나요?
Beginner,185,Can you help me with I can’t find my reservation?,예약을 찾을 수 없어요 도와주실 수 있나요?
Beginner,186,Can you help me with the Wi‑Fi isn’t working?,와이파이가 안 돼요 도와주실 수 있나요?
Beginner,187,Can you help me with this app keeps crashing?,이 앱이 자꾸 꺼져요 도와주실 수 있나요?
Beginner,188,Can you help me with the air conditioner is too cold?,에어컨이 너무 추워요 도와주실 수 있나요?
Beginner,189,Can you help me with the room is too noisy?,방이 너무 시끄러워요 도와주실 수 있나요?
Beginner,190,Can you help me with the order is wrong?,주문이 잘못 나왔어요 도와주실 수 있나요?
Beginner,191,Can you help me with the bill looks incorrect?,계산서가 잘못된 것 같아요 도와주실 수 있나요?
Beginner,192,Can you help me with I lost my card?,카드를 잃어버렸어요 도와주실 수 있나요?
Beginner,193,Can you help me with my suitcase is missing?,가방이 없어졌어요 도와주실 수 있나요?
Beginner,194,I’m here for check‑in today.,오늘 체크인하러 왔어요.
Beginner,195,I’m here for check‑in tomorrow.,내일 체크인하러 왔어요.
Beginner,196,I’m here for check‑in this weekend.,이번 주말 체크인하러 왔어요.
Beginner,197,I’m here for check‑in next week.,다음 주 체크인하러 왔어요.
Beginner,198,I’m here for check‑in next month.,다음 달 체크인하러 왔어요.
Beginner,199,Do you have this in a small size?,이거 작은 사이즈 있나요?
Beginner,200,Do you have this in a medium size?,이거 중간 사이즈 있나요?
Beginner,201,Do you have this in a large size?,이거 큰 사이즈 있나요?
Beginner,202,Do you have this in a extra large size?,이거 아주 큰 사이즈 있나요?
Beginner,203,I want to practice English for 1 minutes today.,오늘은 영어를 1분 동안 연습하고 싶어요.
Beginner,204,I want to practice English for 2 minutes today.,오늘은 영어를 2분 동안 연습하고 싶어요.
Beginner,205,I want to practice English for 3 minutes today.,오늘은 영어를 3분 동안 연습하고 싶어요.
Beginner,206,I want to practice English for 4 minutes today.,오늘은 영어를 4분 동안 연습하고 싶어요.
Beginner,207,I want to practice English for 5 minutes today.,오늘은 영어를 5분 동안 연습하고 싶어요.
Beginner,208,I want to practice English for 6 minutes today.,오늘은 영어를 6분 동안 연습하고 싶어요.
Beginner,209,I want to practice English for 7 minutes today.,오늘은 영어를 7분 동안 연습하고 싶어요.
Beginner,210,I want to practice English for 8 minutes today.,오늘은 영어를 8분 동안 연습하고 싶어요.
Beginner,211,I want to practice English for 9 minutes today.,오늘은 영어를 9분 동안 연습하고 싶어요.
Beginner,212,I want to practice English for 10 minutes today.,오늘은 영어를 10분 동안 연습하고 싶어요.
Beginner,213,I want to practice English for 11 minutes today.,오늘은 영어를 11분 동안 연습하고 싶어요.
Beginner,214,I want to practice English for 12 minutes today.,오늘은 영어를 12분 동안 연습하고 싶어요.
Beginner,215,I want to practice English for 13 minutes today.,오늘은 영어를 13분 동안 연습하고 싶어요.
Beginner,216,I want to practice English for 14 minutes today.,오늘은 영어를 14분 동안 연습하고 싶어요.
Beginner,217,I want to practice English for 15 minutes today.,오늘은 영어를 15분 동안 연습하고 싶어요.
Beginner,218,I want to practice English for 16 minutes today.,오늘은 영어를 16분 동안 연습하고 싶어요.
Beginner,219,I want to practice English for 17 minutes today.,오늘은 영어를 17분 동안 연습하고 싶어요.
Beginner,220,I want to practice English for 18 minutes today.,오늘은 영어를 18분 동안 연습하고 싶어요.
Beginner,221,I want to practice English for 19 minutes today.,오늘은 영어를 19분 동안 연습하고 싶어요.
Beginner,222,I want to practice English for 20 minutes today.,오늘은 영어를 20분 동안 연습하고 싶어요.
Beginner,223,I want to practice English for 21 minutes today.,오늘은 영어를 21분 동안 연습하고 싶어요.
Beginner,224,I want to practice English for 22 minutes today.,오늘은 영어를 22분 동안 연습하고 싶어요.
Beginner,225,I want to practice English for 23 minutes today.,오늘은 영어를 23분 동안 연습하고 싶어요.
Beginner,226,I want to practice English for 24 minutes today.,오늘은 영어를 24분 동안 연습하고 싶어요.
Beginner,227,I want to practice English for 25 minutes today.,오늘은 영어를 25분 동안 연습하고 싶어요.
Beginner,228,I want to practice English for 26 minutes today.,오늘은 영어를 26분 동안 연습하고 싶어요.
Beginner,229,I want to practice English for 27 minutes today.,오늘은 영어를 27분 동안 연습하고 싶어요.
Beginner,230,I want to practice English for 28 minutes today.,오늘은 영어를 28분 동안 연습하고 싶어요.
Beginner,231,I want to practice English for 29 minutes today.,오늘은 영어를 29분 동안 연습하고 싶어요.
Beginner,232,I want to practice English for 30 minutes today.,오늘은 영어를 30분 동안 연습하고 싶어요.
Beginner,233,I want to practice English for 31 minutes today.,오늘은 영어를 31분 동안 연습하고 싶어요.
Beginner,234,I want to practice English for 32 minutes today.,오늘은 영어를 32분 동안 연습하고 싶어요.
Beginner,235,I want to practice English for 33 minutes today.,오늘은 영어를 33분 동안 연습하고 싶어요.
Beginner,236,I want to practice English for 34 minutes today.,오늘은 영어를 34분 동안 연습하고 싶어요.
Beginner,237,I want to practice English for 35 minutes today.,오늘은 영어를 35분 동안 연습하고 싶어요.
Beginner,238,I want to practice English for 36 minutes today.,오늘은 영어를 36분 동안 연습하고 싶어요.
Beginner,239,I want to practice English for 37 minutes today.,오늘은 영어를 37분 동안 연습하고 싶어요.
Beginner,240,I want to practice English for 38 minutes today.,오늘은 영어를 38분 동안 연습하고 싶어요.
Beginner,241,I want to practice English for 39 minutes today.,오늘은 영어를 39분 동안 연습하고 싶어요.
Beginner,242,I want to practice English for 40 minutes today.,오늘은 영어를 40분 동안 연습하고 싶어요.
Beginner,243,I want to practice English for 41 minutes today.,오늘은 영어를 41분 동안 연습하고 싶어요.
Beginner,244,I want to practice English for 42 minutes today.,오늘은 영어를 42분 동안 연습하고 싶어요.
Beginner,245,I want to practice English for 43 minutes today.,오늘은 영어를 43분 동안 연습하고 싶어요.
Beginner,246,I want to practice English for 44 minutes today.,오늘은 영어를 44분 동안 연습하고 싶어요.
Beginner,247,I want to practice English for 45 minutes today.,오늘은 영어를 45분 동안 연습하고 싶어요.
Beginner,248,I want to practice English for 46 minutes today.,오늘은 영어를 46분 동안 연습하고 싶어요.
Beginner,249,I want to practice English for 47 minutes today.,오늘은 영어를 47분 동안 연습하고 싶어요.
Beginner,250,I want to practice English for 48 minutes today.,오늘은 영어를 48분 동안 연습하고 싶어요.
Beginner,251,I want to practice English for 49 minutes today.,오늘은 영어를 49분 동안 연습하고 싶어요.
Beginner,252,I want to practice English for 50 minutes today.,오늘은 영어를 50분 동안 연습하고 싶어요.
Beginner,253,I want to practice English for 51 minutes today.,오늘은 영어를 51분 동안 연습하고 싶어요.
Beginner,254,I want to practice English for 52 minutes today.,오늘은 영어를 52분 동안 연습하고 싶어요.
Beginner,255,I want to practice English for 53 minutes today.,오늘은 영어를 53분 동안 연습하고 싶어요.
Beginner,256,I want to practice English for 54 minutes today.,오늘은 영어를 54분 동안 연습하고 싶어요.
Beginner,257,I want to practice English for 55 minutes today.,오늘은 영어를 55분 동안 연습하고 싶어요.
Beginner,258,I want to practice English for 56 minutes today.,오늘은 영어를 56분 동안 연습하고 싶어요.
Beginner,259,I want to practice English for 57 minutes today.,오늘은 영어를 57분 동안 연습하고 싶어요.
Beginner,260,I want to practice English for 58 minutes today.,오늘은 영어를 58분 동안 연습하고 싶어요.
Beginner,261,I want to practice English for 59 minutes today.,오늘은 영어를 59분 동안 연습하고 싶어요.
Beginner,262,I want to practice English for 60 minutes today.,오늘은 영어를 60분 동안 연습하고 싶어요.
Beginner,263,I want to practice English for 61 minutes today.,오늘은 영어를 61분 동안 연습하고 싶어요.
Beginner,264,I want to practice English for 62 minutes today.,오늘은 영어를 62분 동안 연습하고 싶어요.
Beginner,265,I want to practice English for 63 minutes today.,오늘은 영어를 63분 동안 연습하고 싶어요.
Beginner,266,I want to practice English for 64 minutes today.,오늘은 영어를 64분 동안 연습하고 싶어요.
Beginner,267,I want to practice English for 65 minutes today.,오늘은 영어를 65분 동안 연습하고 싶어요.
Beginner,268,I want to practice English for 66 minutes today.,오늘은 영어를 66분 동안 연습하고 싶어요.
Beginner,269,I want to practice English for 67 minutes today.,오늘은 영어를 67분 동안 연습하고 싶어요.
Beginner,270,I want to practice English for 68 minutes today.,오늘은 영어를 68분 동안 연습하고 싶어요.
Beginner,271,I want to practice English for 69 minutes today.,오늘은 영어를 69분 동안 연습하고 싶어요.
Beginner,272,I want to practice English for 70 minutes today.,오늘은 영어를 70분 동안 연습하고 싶어요.
Beginner,273,I want to practice English for 71 minutes today.,오늘은 영어를 71분 동안 연습하고 싶어요.
Beginner,274,I want to practice English for 72 minutes today.,오늘은 영어를 72분 동안 연습하고 싶어요.
Beginner,275,I want to practice English for 73 minutes today.,오늘은 영어를 73분 동안 연습하고 싶어요.
Beginner,276,I want to practice English for 74 minutes today.,오늘은 영어를 74분 동안 연습하고 싶어요.
Beginner,277,I want to practice English for 75 minutes today.,오늘은 영어를 75분 동안 연습하고 싶어요.
Beginner,278,I want to practice English for 76 minutes today.,오늘은 영어를 76분 동안 연습하고 싶어요.
Beginner,279,I want to practice English for 77 minutes today.,오늘은 영어를 77분 동안 연습하고 싶어요.
Beginner,280,I want to practice English for 78 minutes today.,오늘은 영어를 78분 동안 연습하고 싶어요.
Beginner,281,I want to practice English for 79 minutes today.,오늘은 영어를 79분 동안 연습하고 싶어요.
Beginner,282,I want to practice English for 80 minutes today.,오늘은 영어를 80분 동안 연습하고 싶어요.
Beginner,283,I want to practice English for 81 minutes today.,오늘은 영어를 81분 동안 연습하고 싶어요.
Beginner,284,I want to practice English for 82 minutes today.,오늘은 영어를 82분 동안 연습하고 싶어요.
Beginner,285,I want to practice English for 83 minutes today.,오늘은 영어를 83분 동안 연습하고 싶어요.
Beginner,286,I want to practice English for 84 minutes today.,오늘은 영어를 84분 동안 연습하고 싶어요.
Beginner,287,I want to practice English for 85 minutes today.,오늘은 영어를 85분 동안 연습하고 싶어요.
Beginner,288,I want to practice English for 86 minutes today.,오늘은 영어를 86분 동안 연습하고 싶어요.
Beginner,289,I want to practice English for 87 minutes today.,오늘은 영어를 87분 동안 연습하고 싶어요.
Beginner,290,I want to practice English for 88 minutes today.,오늘은 영어를 88분 동안 연습하고 싶어요.
Beginner,291,I want to practice English for 89 minutes today.,오늘은 영어를 89분 동안 연습하고 싶어요.
Beginner,292,I want to practice English for 90 minutes today.,오늘은 영어를 90분 동안 연습하고 싶어요.
Beginner,293,I want to practice English for 91 minutes today.,오늘은 영어를 91분 동안 연습하고 싶어요.
Beginner,294,I want to practice English for 92 minutes today.,오늘은 영어를 92분 동안 연습하고 싶어요.
Beginner,295,I want to practice English for 93 minutes today.,오늘은 영어를 93분 동안 연습하고 싶어요.
Beginner,296,I want to practice English for 94 minutes today.,오늘은 영어를 94분 동안 연습하고 싶어요.
Beginner,297,I want to practice English for 95 minutes today.,오늘은 영어를 95분 동안 연습하고 싶어요.
Beginner,298,I want to practice English for 96 minutes today.,오늘은 영어를 96분 동안 연습하고 싶어요.
Beginner,299,I want to practice English for 97 minutes today.,오늘은 영어를 97분 동안 연습하고 싶어요.
Beginner,300,I want to practice English for 98 minutes today.,오늘은 영어를 98분 동안 연습하고 싶어요.
Beginner,301,I want to practice English for 99 minutes today.,오늘은 영어를 99분 동안 연습하고 싶어요.
Beginner,302,I want to practice English for 100 minutes today.,오늘은 영어를 100분 동안 연습하고 싶어요.
Beginner,303,I want to practice English for 101 minutes today.,오늘은 영어를 101분 동안 연습하고 싶어요.
Beginner,304,I want to practice English for 102 minutes today.,오늘은 영어를 102분 동안 연습하고 싶어요.
Beginner,305,I want to practice English for 103 minutes today.,오늘은 영어를 103분 동안 연습하고 싶어요.
Beginner,306,I want to practice English for 104 minutes today.,오늘은 영어를 104분 동안 연습하고 싶어요.
Beginner,307,I want to practice English for 105 minutes today.,오늘은 영어를 105분 동안 연습하고 싶어요.
Beginner,308,I want to practice English for 106 minutes today.,오늘은 영어를 106분 동안 연습하고 싶어요.
Beginner,309,I want to practice English for 107 minutes today.,오늘은 영어를 107분 동안 연습하고 싶어요.
Beginner,310,I want to practice English for 108 minutes today.,오늘은 영어를 108분 동안 연습하고 싶어요.
Beginner,311,I want to practice English for 109 minutes today.,오늘은 영어를 109분 동안 연습하고 싶어요.
Beginner,312,I want to practice English for 110 minutes today.,오늘은 영어를 110분 동안 연습하고 싶어요.
Beginner,313,I want to practice English for 111 minutes today.,오늘은 영어를 111분 동안 연습하고 싶어요.
Beginner,314,I want to practice English for 112 minutes today.,오늘은 영어를 112분 동안 연습하고 싶어요.
Beginner,315,I want to practice English for 113 minutes today.,오늘은 영어를 113분 동안 연습하고 싶어요.
Beginner,316,I want to practice English for 114 minutes today.,오늘은 영어를 114분 동안 연습하고 싶어요.
Beginner,317,I want to practice English for 115 minutes today.,오늘은 영어를 115분 동안 연습하고 싶어요.
Beginner,318,I want to practice English for 116 minutes today.,오늘은 영어를 116분 동안 연습하고 싶어요.
Beginner,319,I want to practice English for 117 minutes today.,오늘은 영어를 117분 동안 연습하고 싶어요.
Beginner,320,I want to practice English for 118 minutes today.,오늘은 영어를 118분 동안 연습하고 싶어요.
Beginner,321,I want to practice English for 119 minutes today.,오늘은 영어를 119분 동안 연습하고 싶어요.
Beginner,322,I want to practice English for 120 minutes today.,오늘은 영어를 120분 동안 연습하고 싶어요.
Beginner,323,I want to practice English for 121 minutes today.,오늘은 영어를 121분 동안 연습하고 싶어요.
Beginner,324,I want to practice English for 122 minutes today.,오늘은 영어를 122분 동안 연습하고 싶어요.
Beginner,325,I want to practice English for 123 minutes today.,오늘은 영어를 123분 동안 연습하고 싶어요.
Beginner,326,I want to practice English for 124 minutes today.,오늘은 영어를 124분 동안 연습하고 싶어요.
Beginner,327,I want to practice English for 125 minutes today.,오늘은 영어를 125분 동안 연습하고 싶어요.
Beginner,328,I want to practice English for 126 minutes today.,오늘은 영어를 126분 동안 연습하고 싶어요.
Beginner,329,I want to practice English for 127 minutes today.,오늘은 영어를 127분 동안 연습하고 싶어요.
Beginner,330,I want to practice English for 128 minutes today.,오늘은 영어를 128분 동안 연습하고 싶어요.
Beginner,331,I want to practice English for 129 minutes today.,오늘은 영어를 129분 동안 연습하고 싶어요.
Beginner,332,I want to practice English for 130 minutes today.,오늘은 영어를 130분 동안 연습하고 싶어요.
Beginner,333,I want to practice English for 131 minutes today.,오늘은 영어를 131분 동안 연습하고 싶어요.
Beginner,334,I want to practice English for 132 minutes today.,오늘은 영어를 132분 동안 연습하고 싶어요.
Beginner,335,I want to practice English for 133 minutes today.,오늘은 영어를 133분 동안 연습하고 싶어요.
Beginner,336,I want to practice English for 134 minutes today.,오늘은 영어를 134분 동안 연습하고 싶어요.
Beginner,337,I want to practice English for 135 minutes today.,오늘은 영어를 135분 동안 연습하고 싶어요.
Beginner,338,I want to practice English for 136 minutes today.,오늘은 영어를 136분 동안 연습하고 싶어요.
Beginner,339,I want to practice English for 137 minutes today.,오늘은 영어를 137분 동안 연습하고 싶어요.
Beginner,340,I want to practice English for 138 minutes today.,오늘은 영어를 138분 동안 연습하고 싶어요.
Beginner,341,I want to practice English for 139 minutes today.,오늘은 영어를 139분 동안 연습하고 싶어요.
Beginner,342,I want to practice English for 140 minutes today.,오늘은 영어를 140분 동안 연습하고 싶어요.
Beginner,343,I want to practice English for 141 minutes today.,오늘은 영어를 141분 동안 연습하고 싶어요.
Beginner,344,I want to practice English for 142 minutes today.,오늘은 영어를 142분 동안 연습하고 싶어요.
Beginner,345,I want to practice English for 143 minutes today.,오늘은 영어를 143분 동안 연습하고 싶어요.
Beginner,346,I want to practice English for 144 minutes today.,오늘은 영어를 144분 동안 연습하고 싶어요.
Beginner,347,I want to practice English for 145 minutes today.,오늘은 영어를 145분 동안 연습하고 싶어요.
Beginner,348,I want to practice English for 146 minutes today.,오늘은 영어를 146분 동안 연습하고 싶어요.
Beginner,349,I want to practice English for 147 minutes today.,오늘은 영어를 147분 동안 연습하고 싶어요.
